Month,SilverPrice,GoldPrice,,
"Saturday, March 1, 1997",186.48,12619.24,,
"Tuesday, April 1, 1997",170.65,12338.59,,
"Thursday, May 1, 1997",170.44,12314.94,,
"Sunday, June 1, 1997",169.96,12202.78,,
"Tuesday, July 1, 1997",155.8,11582.07,,
"Friday, August 1, 1997",162.16,11640.38,,
"Monday, September 1, 1997",172.13,11755.57,,
"Wednesday, October 1, 1997",181.57,11769.89,,
"Saturday, November 1, 1997",187.99,11370.19,,
"Monday, December 1, 1997",224.16,11324.79,,
"Thursday, January 1, 1998",230.08,11378.25,,
"Sunday, February 1, 1998",261.75,11576.23,,
"Sunday, March 1, 1998",243.81,11690.84,,
"Wednesday, April 1, 1998",249.37,12225.02,,
"Friday, May 1, 1998",225.54,12075.24,,
"Monday, June 1, 1998",222.24,12349.86,,
"Wednesday, July 1, 1998",232.46,12450.03,,
"Saturday, August 1, 1998",220.73,12142.73,,
"Tuesday, September 1, 1998",213.74,12287.69,,
"Thursday, October 1, 1998",211.8,12531.16,,
"Sunday, November 1, 1998",211.21,12463.97,,
"Tuesday, December 1, 1998",207.96,12412.18,,
"Friday, January 1, 1999",219.44,12203.2,,
"Monday, February 1, 1999",235.52,12203.06,,
"Monday, March 1, 1999",220.61,12135.19,,
"Thursday, April 1, 1999",217.57,12075.25,,
"Saturday, May 1, 1999",226.61,11823.6,,
"Tuesday, June 1, 1999",219.02,11272.2,,
"Thursday, July 1, 1999",226.31,11084.77,,
"Sunday, August 1, 1999",230.06,11155.98,,
"Wednesday, September 1, 1999",229.82,11526.3,,
"Friday, October 1, 1999",235.38,13502.09,,
"Monday, November 1, 1999",225.32,12723.39,,
"Wednesday, December 1, 1999",226.61,12309.24,,
"Saturday, January 1, 2000",227.98,12382.68,,
"Tuesday, February 1, 2000",231,13077.75,,
"Wednesday, March 1, 2000",222.37,12483.33,,
"Saturday, April 1, 2000",222.72,12205.39,,
"Monday, May 1, 2000",221.88,12100.23,,
"Thursday, June 1, 2000",225.78,12769.55,,
"Saturday, July 1, 2000",224.71,12609.06,,
"Tuesday, August 1, 2000",225.15,12541.03,,
"Friday, September 1, 2000",226.92,12558.9,,
"Sunday, October 1, 2000",226.27,12515.53,,
"Wednesday, November 1, 2000",220.78,12444.55,,
"Friday, December 1, 2000",218.04,12690.44,,
"Sunday, January 1, 2017",218.83,12355.9,,
"Wednesday, February 1, 2017",212.75,12181.9,,
"Wednesday, March 1, 2017",205.1,12262.59,,
"Saturday, April 1, 2017",205.51,12186.79,,
"Monday, May 1, 2017",208.12,12778.39,,
"Thursday, June 1, 2017",205.32,12702.23,,
"Saturday, July 1, 2017",200.56,12611.85,,
"Tuesday, August 1, 2017",198.27,12836.74,,
"Friday, September 1, 2017",209.25,13503.83,,
"Sunday, October 1, 2017",212.19,13592.68,,
"Wednesday, November 1, 2017",197.92,13254.95,,
"Friday, December 1, 2017",209.23,13217.92,,
"Monday, January 2, 2017",217.59,13606.99,,
"Thursday, February 2, 2017",216.57,14388.34,,
"Thursday, March 2, 2017",222.74,14332.32,,
"Sunday, April 2, 2017",225.27,14806.95,,
"Tuesday, May 2, 2017",232.04,15410.01,,
"Friday, June 2, 2017",240.95,15725.33,,
"Sunday, July 2, 2017",241.17,15277.25,,
"Wednesday, August 2, 2017",221.65,15075.69,,
"Saturday, September 2, 2017",222.55,15459.5,,
"Monday, October 2, 2017",213.93,15311.83,,
"Thursday, November 2, 2017",219.02,15396.81,,
"Saturday, December 2, 2017",224.21,15977.8,,
"Tuesday, January 3, 2017",232.76,17104.25,,
"Friday, February 3, 2017",223.45,17135.72,,
"Friday, March 3, 2017",216.64,16224.16,,
"Monday, April 3, 2017",214.92,15548.35,,
"Wednesday, May 3, 2017",223.78,16746.68,,
"Saturday, June 3, 2017",212.87,16649.12,,
"Monday, July 3, 2017",224.92,16229.25,,
"Thursday, August 3, 2017",231.01,16526.12,,
"Sunday, September 3, 2017",238.71,17374.81,,
"Tuesday, October 3, 2017",228.73,17199.35,,
"Friday, November 3, 2017",236.99,17748.7,,
"Sunday, December 3, 2017",257.74,18553.38,,
"Wednesday, January 4, 2017",289.57,18806.25,,
"Saturday, February 4, 2017",293.23,18329.5,,
"Saturday, March 4, 2017",328.37,18306.02,,
"Tuesday, April 4, 2017",311.3,17716.56,,
"Thursday, May 4, 2017",266.05,17362.97,,
"Sunday, June 4, 2017",267.81,17859.21,,
"Tuesday, July 4, 2017",293.55,18329.56,,
"Friday, August 4, 2017",311.06,18560.59,,
"Monday, September 4, 2017",295.92,18682.41,,
"Wednesday, October 4, 2017",327.21,19250.39,,
"Saturday, November 4, 2017",338.98,19821.18,,
"Monday, December 4, 2017",313.33,19442.83,,
"Thursday, January 5, 2017",291.23,18554.21,,
"Sunday, February 5, 2017",308.92,18490.66,,
"Sunday, March 5, 2017",317.53,18954.91,,
"Wednesday, April 5, 2017",313.07,18775.16,,
"Friday, May 5, 2017",306.74,18347.86,,
"Monday, June 5, 2017",319.76,18770.58,,
"Wednesday, July 5, 2017",306.68,18480.7,,
"Saturday, August 5, 2017",306.57,19105.09,,
"Tuesday, September 5, 2017",315.91,20028.03,,
"Thursday, October 5, 2017",345.09,21062,,
"Sunday, November 5, 2017",359.58,21796.08,,
"Tuesday, December 5, 2017",396.65,23290.06,,
"Friday, January 6, 2017",407.79,24413.14,,
"Monday, February 6, 2017",422.09,24603.51,,
"Monday, March 6, 2017",461.44,24776.99,,
"Thursday, April 6, 2017",567.78,27448.49,,
"Saturday, May 6, 2017",607.5,30668.98,,
"Tuesday, June 6, 2017",496.21,27455.73,,
"Thursday, July 6, 2017",520.88,29439.75,,
"Sunday, August 6, 2017",570.29,29440.3,,
"Wednesday, September 6, 2017",534.97,27588.91,,
"Friday, October 6, 2017",528.14,26634.49,,
"Monday, November 6, 2017",582.45,28162.44,,
"Wednesday, December 6, 2017",593.56,28110.41,,
"Saturday, January 7, 2017",570.48,27985.57,,
"Tuesday, February 7, 2017",615.88,29356.7,,
"Tuesday, March 7, 2017",579.5,28832.08,,
"Friday, April 7, 2017",578.83,28636.08,,
"Sunday, May 7, 2017",537.93,27220.91,,
